SectorID,Start,End,Duration
FL216,2019-47,2020-2,8
FL216,2020-4,2020-7,4
FL216,2021-4,2021-8,5
FL217,2018-10,2018-14,5
FL217,2018-16,2018-33,18
FL217,2018-46,2018-51,6
FL217,2019-23,2019-31,9
FL217,2019-50,2020-6,9
FL217,2020-23,2020-30,8
FL217,2020-43,2021-13,23
FL218,2018-4,2018-9,6
FL218,2018-20,2018-28,9
FL218,2018-30,2018-35,6
FL218,2019-50,2020-2,5
FL218,2020-25,2020-32,8
FL218,2020-34,2020-37,4
FL218,2020-41,2021-13,25
FL219,2018-20,2018-27,8
FL219,2020-21,2020-28,8
FL219,2020-46,2021-13,20
FL22,2019-49,2020-3,7
FL22,2020-5,2020-9,5
FL22,2020-36,2021-13,30
FL220,2018-1,2018-8,8
FL220,2018-12,2018-20,9
FL220,2018-22,2018-26,5
FL220,2018-37,2018-42,6
FL220,2018-44,2018-47,4
FL220,2019-22,2019-28,7
FL220,2020-26,2020-31,6
FL220,2020-37,2020-40,4
FL220,2020-42,2020-48,7
FL220,2021-4,2021-7,4
FL221,2018-5,2018-9,5
FL221,2018-11,2018-14,4
FL221,2018-23,2018-27,5
FL221,2020-19,2020-24,6
FL221,2020-26,2020-29,4
FL221,2021-8,2021-13,6
FL222,2018-15,2018-31,17
FL222,2018-50,2019-2,5
FL222,2019-14,2019-17,4
FL222,2019-19,2019-24,6
FL222,2020-3,2020-6,4
FL222,2020-10,2020-13,4
FL222,2020-15,2020-23,9
FL222,2020-36,2020-43,8
FL222,2020-51,2021-4,6
FL222,2021-8,2021-13,6
FL223,2018-1,2018-10,10
FL223,2018-12,2019-31,72
FL223,2019-43,2021-11,73
FL224,2018-2,2018-6,5
FL224,2018-13,2018-20,8
FL224,2018-34,2018-37,4
FL224,2018-41,2019-1,13
FL224,2019-40,2020-5,18
FL224,2020-33,2020-37,5
FL224,2021-3,2021-8,6
FL224,2021-10,2021-13,4
FL225,2018-1,2018-10,10
FL225,2018-12,2019-8,49
FL225,2019-10,2019-13,4
FL225,2019-27,2019-32,6
FL225,2019-40,2019-50,11
FL225,2019-52,2020-6,7
FL225,2020-8,2020-12,5
FL225,2020-24,2020-28,5
FL225,2020-33,2020-36,4
FL225,2020-46,2021-7,14
FL226,2018-8,2018-16,9
FL226,2018-18,2018-22,5
FL226,2018-44,2018-52,9
FL226,2019-8,2019-14,7
FL226,2019-16,2019-32,17
FL226,2019-42,2020-5,16
FL226,2020-20,2020-33,14
FL226,2020-38,2020-45,8
FL227,2018-9,2018-34,26
FL227,2018-36,2019-28,45
FL227,2019-52,2020-6,7
FL227,2020-14,2020-45,32
FL227,2020-47,2021-6,12
FL227,2021-8,2021-13,6
FL228,2018-1,2018-5,5
FL228,2018-11,2018-34,24
FL228,2018-37,2018-48,12
FL228,2018-50,2019-3,6
FL228,2019-5,2019-9,5
FL228,2019-13,2019-17,5
FL228,2019-21,2019-29,9
FL228,2019-45,2019-50,6
FL228,2019-52,2020-6,7
FL228,2020-23,2020-35,13
FL228,2020-50,2021-10,13
FL229,2018-16,2018-22,7
FL229,2018-24,2019-5,34
FL229,2019-8,2019-11,4
FL229,2019-13,2019-17,5
FL229,2019-19,2019-27,9
FL229,2019-43,2019-46,4
FL229,2019-52,2020-32,33
FL229,2020-48,2021-13,18
FL23,2019-27,2019-30,4
FL23,2019-52,2020-4,5
FL23,2020-6,2020-9,4
FL23,2020-21,2020-27,7
FL23,2020-29,2020-36,8
FL23,2020-38,2020-42,5
FL23,2020-46,2020-49,4
FL23,2020-51,2021-7,9
FL230,2018-14,2018-17,4
FL230,2018-48,2019-6,11
FL230,2019-15,2019-24,10
FL230,2019-39,2019-50,12
FL230,2020-4,2020-8,5
FL230,2020-35,2020-40,6
FL230,2021-7,2021-10,4
FL231,2018-21,2018-25,5
FL231,2018-34,2018-37,4
FL231,2018-43,2018-47,5
FL231,2019-1,2019-4,4
FL231,2019-42,2019-51,10
FL231,2020-22,2020-26,5
FL231,2020-28,2020-31,4
FL231,2020-33,2021-13,33
FL232,2018-36,2019-4,21
FL232,2019-11,2019-14,4
FL232,2019-16,2019-20,5
FL232,2019-32,2019-40,9
FL232,2019-46,2019-49,4
FL232,2019-51,2020-6,8
FL232,2020-15,2020-34,20
FL232,2020-36,2020-43,8
FL233,2018-1,2018-4,4
FL233,2018-18,2018-52,35
FL233,2019-25,2019-29,5
FL233,2019-31,2019-34,4
FL233,2019-38,2019-42,5
FL233,2019-50,2020-8,11
FL233,2020-19,2020-33,15
FL233,2020-35,2021-6,24
FL233,2021-8,2021-13,6
FL234,2018-1,2018-31,31
FL234,2018-36,2019-43,60
FL234,2019-45,2020-6,14
FL234,2020-8,2021-10,55
FL235,2018-3,2018-9,7
FL235,2018-15,2018-24,10
FL235,2018-30,2018-34,5
FL235,2018-36,2018-40,5
FL235,2018-42,2018-51,10
FL235,2019-7,2019-34,28
FL235,2019-46,2019-49,4
FL235,2019-51,2021-13,67
FL237,2018-26,2018-32,7
FL237,2018-48,2018-52,5
FL237,2019-5,2019-11,7
FL237,2019-19,2019-24,6
FL237,2020-51,2021-2,4
FL238,2018-1,2018-5,5
FL238,2018-18,2018-21,4
FL238,2020-15,2020-19,5
FL238,2020-21,2020-25,5
FL238,2020-29,2020-32,4
FL238,2020-34,2020-37,4
FL238,2020-41,2021-11,23
FL239,2018-1,2018-20,20
FL239,2018-44,2018-47,4
FL239,2019-42,2019-46,5
FL239,2019-48,2020-7,12
FL239,2020-11,2021-3,45
FL239,2021-5,2021-13,9
FL24,2018-5,2018-8,4
FL24,2019-2,2019-5,4
FL24,2019-29,2019-32,4
FL24,2021-10,2021-13,4
FL240,2018-1,2018-11,11
FL240,2018-13,2018-21,9
FL240,2018-24,2018-31,8
FL240,2018-33,2018-41,9
FL240,2018-46,2018-52,7
FL240,2019-9,2019-23,15
FL240,2019-25,2019-29,5
FL240,2019-31,2019-34,4
FL240,2020-29,2021-13,37
FL241,2018-1,2018-8,8
FL241,2018-10,2018-34,25
FL241,2018-40,2018-46,7
